name,status,number,lat,long
Olonetsian,Definitely endangered,25000,61.1273,32.8765
Saek,Definitely endangered,25000,19.3166,104.7833
Sioux,Vulnerable,25000,43.0588,-102.5244
Tamazight (Beni Iznassen),Definitely endangered,25000,34.7506,-2.1917
Tsakhur,Definitely endangered,25000,41.6523,46.9775
Warao,Definitely endangered,25000,8.6027,-61.3806
Majhi,Severely endangered,24664,27.9208,83.5082
Jone,Definitely endangered,24000,34.5947,103.5653
Andi,Definitely endangered,23729,42.7308,46.2963
Guambiano,Definitely endangered,23462,2.6138,-76.3906
Anal,Vulnerable,23000,24.1517,93.9385
Hawrami,Definitely endangered,23000,35.4259,46.2551
Juang,Definitely endangered,23000,21.0742,85.6164
Tiwa,Definitely endangered,23000,25.7801,92.5927
Embera (Panama),Vulnerable,22485,8.1179,-77.7429
Ediamat,Vulnerable,22025,12.2621,-16.5289
Mara,Definitely endangered,22000,23.5237,92.9003
Maring,Vulnerable,22000,24.6769,94.3835
Polci cluster,Definitely endangered,22000,9.9742,9.3328
Sarikoli,Definitely endangered,22000,37.9463,75.1272
Krongo,Definitely endangered,21688,10.585,29.8883
Ashtiani,Definitely endangered,21000,34.4861,51.0562
Khunsari,Definitely endangered,21000,32.8795,51.6796
Semnani,Definitely endangered,21000,34.8679,53.4924
Plains Cree,Vulnerable,20933,56.3544,-113.8345
Higher Reservoir Mazatec,Vulnerable,20665,18.158,-96.7045
Chilchotla Mazatec,Vulnerable,20585,18.2934,-96.7029
"Zapotec of the Valleys, middle northwest",Definitely endangered,20448,17.05,-96.6333
Aluo,Definitely endangered,20000,25.9368,102.1839
Bangni,Vulnerable,20000,28.0331,93.0651
Bru,Definitely endangered,20000,15.3174,105.4938
Cho-ca-nga-ca-kha,Definitely endangered,20000,27.4107,91.2277
Crimean Tatar (Dobruja),Severely endangered,20000,43.9414,28.3062
Dhimal,Severely endangered,20000,26.6192,87.4635
Griko (Salento),Severely endangered,20000,40.1578,18.2208
Kaiowá Guarani,Vulnerable,20000,-21.5812,-55.0759
Karelian (Karelia),Definitely endangered,20000,63.0474,33.4616
Khoirao,Vulnerable,20000,25.2198,94.1583
Manchad,Vulnerable,20000,32.6578,77.5415
Mariupolitan Greek,Severely endangered,20000,47.1364,37.5444
Padam,Vulnerable,20000,28.2463,95.3668
Pemon (Venezuela),Vulnerable,20000,5.1347,-61.853
Tacenwit,Vulnerable,20000,36.5703,2.2892
Tangwang,Definitely endangered,20000,35.7643,102.8979
Western Neo-Aramaic,Definitely endangered,20000,33.8339,36.5405
Yaghnobi,Definitely endangered,20000,38.5632,68.4475
Yaw,Definitely endangered,20000,21.6,94.8333
Yeyi,Definitely endangered,20000,-19.4562,23.2031
Boro,Definitely endangered,19878,10.3581,35.0024
Sorbian,Definitely endangered,19500,51.5001,14.4744
Biete,Definitely endangered,19000,25.6514,93.2409
Hrangkhol,Vulnerable,19000,24.1467,92.3071
Terena,Severely endangered,19000,-20.2841,-55.4638
Kati,Definitely endangered,18700,35.3845,71.3177
Kulung,Vulnerable,18686,27.518,86.9375
Kaingang,Definitely endangered,18500,-28.1495,-52.4707
Lowland Mazatec,Vulnerable,18389,18.0801,-96.5236
Vafsi,Definitely endangered,18000,34.0867,49.8861
Bassari,Vulnerable,17910,12.4419,-12.6617
Bayot,Vulnerable,17150,12.4218,-16.4149
Pochuri,Vulnerable,17000,25.6712,94.779
Tamahaq (Libya),Definitely endangered,17000,24.9611,10.1733
Swampy Cree,Vulnerable,16685,53.9849,-97.7626
Koraga,Critically endangered,16665,11.6952,75.6738
Oyda,Vulnerable,16597,5.9438,36.6503
Pangvali,Critically endangered,16285,33.4589,76.9152
Shipibo-Conibo,Definitely endangered,16085,-8.4289,-74.6411
Amba,Vulnerable,16000,0.6737,30.198
Tsez,Definitely endangered,15356,42.2376,45.8734
Bonan,Definitely endangered,15000,36.089,102.843
Chrau,Definitely endangered,15000,10.5634,107.1496
Dari,Definitely endangered,15000,31.8402,54.1625
Dzala,Vulnerable,15000,27.7078,91.3623
Ersu,Definitely endangered,15000,28.7778,102.1277
Gangte,Definitely endangered,15000,24.1968,93.587
Gurdu-Mbaaru,Severely endangered,15000,9.7415,10.4534
Ha-lung Tibetan,Definitely endangered,15000,27.6831,87.8256
Hlersu,Vulnerable,15000,24.3789,102.046
Juk,Definitely endangered,15000,15.3333,106.85
Kwama,Vulnerable,15000,9.5465,34.2059
Laemae,Severely endangered,15000,26.4179,98.7758
Lavua,Definitely endangered,15000,18.4483,98.1848
Macushi (Brazil),Vulnerable,15000,3.7765,-61.1279
Nahali,Definitely endangered,15000,21.4735,74.0258
Naluo,Vulnerable,15000,26.5895,100.8506
Nyoe,Definitely endangered,15000,14.9102,104.6049
O'odham (Akimel),Definitely endangered,15000,33.059,-112.0479
O'odham (Tohono),Definitely endangered,15000,31.9186,-111.8798
Paiwan,Vulnerable,15000,22.4313,120.7809
Rao,Definitely endangered,15000,25.871,107.0476
Semai,Severely endangered,15000,4.3039,101.445
Shatt,Severely endangered,15000,10.8117,29.7235
Siwi,Definitely endangered,15000,29.1905,25.5322
Tagargrent,Severely endangered,15000,30.9587,4.0209
Tayurayt,Vulnerable,15000,36.5648,1.9061
Totoli,Vulnerable,15000,0.8953,120.2838
Aruaco,Vulnerable,14799,10.0986,-73.5424
Yakkha,Critically endangered,14648,27.1908,87.3358
Kuruba,Critically endangered,14613,11.4369,76.3549
Tuamotuan,Definitely endangered,14400,-14.9354,-147.7455
Katla,Definitely endangered,14208,11.7329,29.3939
Garífuna (Belize),Vulnerable,14061,17.1833,-88.5833
Thulung,Definitely endangered,14034,27.4534,86.6423
Bawm,Definitely endangered,14000,22.1874,92.6477
Guajajara,Vulnerable,14000,-4.8282,-46.8017
Niuean,Definitely endangered,14000,-19.0491,-169.8706
Uhunduni,Vulnerable,14000,-4.2054,137.031
Gusilay,Vulnerable,13950,12.7019,-16.4382
Xavante,Vulnerable,13303,-14.4832,-53.5305
Dondo,Vulnerable,13000,0.747,120.4266
Khampti,Vulnerable,13000,27.8827,96.5093
Nalu,Definitely endangered,13000,10.9523,-14.7629
Tagoi,Severely endangered,13000,10.8252,30.1657
Karko,Definitely endangered,12986,11.964,29.4186
San Mateo del Mar Huave,Vulnerable,12667,16.2,-94.9833
Q'eqchi' (Belize),Vulnerable,12366,16.8107,-88.3999
Kadaru,Definitely endangered,12360,12.1789,30.2398
Mazatlán Mazatec,Vulnerable,12340,18.033,-96.8999
Badiaranke,Severely endangered,12205,12.4043,-13.5736
Alune,Vulnerable,12000,-3.0637,128.3752
Bangani,Critically endangered,12000,29.8692,79.0686
Chamalal,Definitely endangered,12000,42.5712,46.0739
Chru,Vulnerable,12000,11.4666,109.05
Hill Miri,Definitely endangered,12000,27.7078,94.0374
Jinuo,Definitely endangered,12000,21.4758,101.3111
Muya,Vulnerable,12000,30.2593,101.7497
Samei,Severely endangered,12000,25.0756,103.0133
Tajio,Vulnerable,12000,-0.0954,120.0173
Tobada',Extinct,12000,-2.019,119.4708
Yurt Tatar,Definitely endangered,12000,46.3943,48.3288
Yaqui (Mexico),Vulnerable,11806,27.6436,-110.296
Ch'orti' (Guatemala),Definitely endangered,11734,14.968,-89.2905
Filomeno Mata Totonac,Vulnerable,11710,20.198,-97.7022
Northern Totonac,Critically endangered,11529,20.2741,-97.955
Komo,Definitely endangered,11500,9.0804,34.0905
Tuwuli,Vulnerable,11400,7.0572,0.3845
Poqomam,Definitely endangered,11273,14.6455,-89.7274
Idu,Definitely endangered,11101,28.6496,95.8419
Kari'ña (Venezuela),Severely endangered,11000,8.4941,-64.0942
Machiguenga,Definitely endangered,11000,-11.8888,-72.9052
Piaroa (Venezuela),Vulnerable,11000,4.5435,-66.7089
Tuvaluan,Definitely endangered,11000,-8.5049,179.187
Waunana (Colombia),Vulnerable,11000,4.2806,-77.0581
Noon,Vulnerable,10925,14.8173,-16.5234
Sampang,Vulnerable,10810,27.257,86.9444
Central Alaskan Yupik (2),Vulnerable,10400,61.4387,-160.4882
Central Alaskan Yupik (Nuniak Island),Vulnerable,10400,59.8889,-166.289
Bukiyip,Vulnerable,10304,-3.4256,143.0886
Saparua,Definitely endangered,10216,-3.5757,128.6464
